phase,point,policy,cohort,condition,mu,epsilon,method,tracking,std,q95,feasible_rate,rho,baseline,tracking_increase_pct,viable
A,map,balanced,50,correct,0.9,inf,Isotropic,0.007708730879310744,0.00019716495177981146,0.008038881000949504,1.0,0.9688456801361685,0.007708730879310744,0.0,False
A,map,balanced,100,correct,0.9,2,ControlAware,0.008008648869680512,0.00038439627612479546,0.008741825530353483,1.0,0.9693173717636006,0.007686013592935077,4.197693288520843,True
A,map,balanced,100,correct,0.9,2,Isotropic,0.008139648655320245,0.0004963258123458361,0.009137611493808477,1.0,0.969369430013449,0.007686013592935079,5.902085091316311,True
A,map,balanced,100,correct,0.9,4,ControlAware,0.0076910511329455165,0.00018708726706448005,0.007999624095396679,1.0,0.9691116738286788,0.007686013592935077,0.06554164847001331,True
A,map,balanced,100,correct,0.9,4,Isotropic,0.007712942694579306,0.0002119428332227658,0.008048844477721513,1.0,0.9691388356459923,0.007686013592935079,0.35036500155269934,True
A,map,balanced,100,correct,0.9,8,ControlAware,0.007712443280257225,0.00020927332379110894,0.008031441383571494,1.0,0.969060727489373,0.007686013592935077,0.34386729873132627,True
A,map,balanced,100,correct,0.9,8,Isotropic,0.007724105495625743,0.00021926940262229118,0.008061350391587441,1.0,0.9691075018541772,0.007686013592935079,0.4956002514187263,True
A,map,balanced,100,correct,0.9,inf,ControlAware,0.007686013592935077,0.00018498955155130697,0.00794619964663652,1.0,0.9688682847530836,0.007686013592935077,0.0,False
A,map,balanced,100,correct,0.9,inf,Isotropic,0.007686013592935079,0.00018498955155130708,0.00794619964663652,1.0,0.9688682847530836,0.007686013592935079,0.0,False
A,map,biased-low-speed,10,correct,0.9,2,ControlAware,0.020212331638718047,0.006957909754118166,0.03274312659485471,1.0,0.9727805422027636,0.007738168362005617,161.2030482298697,False
A,map,biased-low-speed,10,correct,0.9,2,Isotropic,0.022322497505054613,0.007871657852261219,0.037696002023503455,1.0,0.973110657394358,0.007738168362005607,188.4726263473154,False
A,map,biased-low-speed,10,correct,0.9,4,ControlAware,0.01378791802062602,0.003452856844175164,0.01948830878652612,1.0,0.9716166343501174,0.007738168362005617,78.18064140765735,False
A,map,biased-low-speed,10,correct,0.9,4,Isotropic,0.015494715253678024,0.004248267424186471,0.021701033291999246,1.0,0.9720390315176132,0.007738168362005607,100.23750490822931,False
A,map,biased-low-speed,10,correct,0.9,8,ControlAware,0.009485250929231656,0.0013571319065656452,0.011778943474707723,1.0,0.9707014175727006,0.007738168362005617,22.57746905332545,False
A,map,biased-low-speed,10,correct,0.9,8,Isotropic,0.010131955587825361,0.0017548722226713612,0.012811981924788924,1.0,0.9709197447126244,0.007738168362005607,30.93480412720464,False
